Hashtag,Keyword,Organisation
,"{'Medical', 'Health', 'Policy', 'Funding', 'Research', 'Grant', 'Government'}","{'UQ_News', 'UniofAdelaide', 'QIMRBerghofer', 'UniversitySA', 'UOW', 'QUT', 'Macquarie_Uni', 'ANUmedia', 'WestmeadInst', 'UNSW', 'BakerResearchAu', 'TheFlorey', 'sahmriAU', 'PeterMacCC', 'Sydney_Uni', 'WEHI_research', 'uwanews', 'Uni_Newcastle', 'MCRI_for_kids', 'latrobe', 'unimelb', 'CentenaryInst', 'MonashUni', 'blackdoginst', 'UTAS_', 'GarvanInstitute', 'Flinders', 'UTSEngage'}"
 '3D',{'Research'},{'QUT'}
 '3Dprinted',{'Research'},{'MonashUni'}
 'ACPNS',{'Grant'},{'QUT'}
 'ACSNSW',{'Funding'},{'UOW'}
 'AI',{'Research'},{'Sydney_Uni'}
 'ASCO18',{'Grant'},{'PeterMacCC'}
 'AUSpol',{'Health'},{'QUT'}
 'AcaWriter',"{'Health', 'Research'}",{'UTSEngage'}
 'Alzheimer',"{'Medical', 'Research'}",{'UniofAdelaide'}
 'Antiangiogenic',{'Research'},{'WEHI_research'}
 'Antimetastatic',{'Research'},{'WEHI_research'}
 'Aphasia',"{'Funding', 'Research'}",{'latrobe'}
 'Apoptotic',{'Research'},{'WEHI_research'}
 'ArtofScience',"{'Health', 'Grant', 'Research'}",{'WEHI_research'}
 'AtoZQldScience',{'Research'},{'QIMRBerghofer'}
 'AugmentedReality',{'Research'},{'MonashUni'}
 'Australia',"{'Government', 'Research'}","{'unimelb', 'EyeResearchAus', 'UNSW'}"
 'BRAF',{'Research'},{'WestmeadInst'}
 'BTSM',{'Grant'},{'PeterMacCC'}
 'Biocompatibility',"{'Funding', 'Research'}",{'Flinders'}
 'Biomarkers',{'Grant'},{'PeterMacCC'}
 'Biomimetics',"{'Funding', 'Research'}",{'Flinders'}
 'BrainMetastases',{'Grant'},{'PeterMacCC'}
 'BrainMetastasis',{'Grant'},{'PeterMacCC'}
 'Brisbane',{'Research'},{'UQ_News'}
 'CBGL',{'Government'},{'Flinders'}
 'CaMolDx',{'Grant'},{'PeterMacCC'}
 'Canberra',{'Research'},{'UNSW'}
 'CancerImaging',{'Grant'},{'PeterMacCC'}
 'CareerArc',{'Health'},{'latrobe'}
 'CaxTx',{'Grant'},{'PeterMacCC'}
 'ChangeIt',{'Research'},{'MonashUni'}
 'CheckpointInhibitors',{'Grant'},{'PeterMacCC'}
 'China',{'Government'},{'UNSW'}
 'Collaboration',"{'Health', 'Research'}",{'sahmriAU'}
 'DVTech18',{'Funding'},{'QUT'}
 'DiseaseMonitoring',{'Grant'},{'PeterMacCC'}
 'DravetSyndrome',{'Research'},"{'TheFlorey', 'UQ_News'}"
 'DreamLab',{'Research'},{'GarvanInstitute'}
 'ECRchat',"{'Medical', 'Grant', 'Research'}",{'sahmriAU'}
 'EOL',"{'Health', 'Research'}",{'QUT'}
 'ESG',{'Research'},{'Macquarie_Uni'}
 'ETP18',{'Grant'},"{'ANUmedia', 'UNSW'}"
 'Endoflifecare',{'Health'},{'UniofAdelaide'}
 'Engineering',"{'Grant', 'Research'}",{'UTSEngage'}
 'Entrepreneurs',"{'Medical', 'Health'}",{'QUT'}
 'Eureka18',{'Research'},{'UQ_News'}
 'FOBITas',{'Research'},{'UTAS_'}
 'Fedsquare',"{'Health', 'Grant', 'Research'}",{'WEHI_research'}
 'Finland',"{'Policy', 'Health', 'Grant', 'Research'}",{'ANUmedia'}
 'FreeSpeechForAll',{'Research'},{'uwanews'}
 'GPCR',{'Research'},{'MonashUni'}
 'Go8',{'Health'},"{'Sydney_Uni', 'UQ_News', 'UniofAdelaide', 'uwanews', 'ANUmedia', 'UNSW', 'unimelb', 'MonashUni'}"
 'Government',{'Government'},"{'Flinders', 'UNSW'}"
 'GreatBarrierReef',{'Health'},{'QUT'}
 'HappyWeekend',{'Government'},{'Flinders'}
 'Health',"{'Health', 'Research'}","{'Flinders', 'sahmriAU'}"
 'HealthTech',{'Health'},{'MCRI_for_kids'}
 'Healthcare',"{'Medical', 'Health'}",{'latrobe'}
 'HealthcareIT',{'Health'},{'MCRI_for_kids'}
 'HigherEd',"{'Grant', 'Research'}",{'UTSEngage'}
 'HunterBiz',{'Research'},{'Uni_Newcastle'}
 'IGA',{'Research'},{'MonashUni'}
 'IHBI',{'Research'},{'QUT'}
 'IHBIAdvances',{'Research'},{'QUT'}
 'IHBIInspires2018',"{'Health', 'Research'}",{'QUT'}
 'IR',{'Government'},{'Flinders'}
 'Illawarra',{'Funding'},{'UOW'}
 'Imaging',{'Grant'},{'PeterMacCC'}
 'ImmunoOnc',{'Grant'},{'PeterMacCC'}
 'Immunotherapy',{'Grant'},{'PeterMacCC'}
 'Inflammation',{'Research'},{'CentenaryInst'}
 'International',{'Government'},{'UNSW'}
 'Ipilimumab',{'Grant'},{'PeterMacCC'}
 'Irrigation',{'Research'},{'UniofAdelaide'}
 'Job',{'Health'},{'latrobe'}
 'Jobs',{'Health'},{'latrobe'}
 'LSFM18',{'Research'},{'WEHI_research'}
 'Latrobe',{'Health'},{'latrobe'}
 'Lecturer',"{'Health', 'Research'}",{'UTAS_'}
 'Low',"{'Grant', 'Research'}",{'UTSEngage'}
 'LowSES',"{'Grant', 'Research'}",{'UTSEngage'}
 'MBSReview',{'Health'},{'QUT'}
 'MRI',{'Grant'},{'PeterMacCC'}
 'MSc',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
 'MechanicalEngineering',"{'Funding', 'Research'}",{'Flinders'}
 'Melanoma',{'Grant'},{'PeterMacCC'}
 'Melsm',{'Grant'},{'PeterMacCC'}
 'Meningococcal',{'Research'},{'UniofAdelaide'}
 'Metastasis',{'Grant'},{'PeterMacCC'}
 'MonashOpenDay',{'Research'},{'MonashUni'}
 'Moodle',{'Grant'},"{'UQ_News', 'QUT'}"
 'MootAU18',{'Grant'},"{'UQ_News', 'QUT'}"
 'Mqopenday',{'Research'},{'Macquarie_Uni'}
 'NTD',{'Research'},{'QIMRBerghofer'}
 'NatSciWk',{'Research'},{'WEHI_research'}
 'NationalScienceWeek',"{'Medical', 'Research'}",{'WEHI_research'}
 'Nivolumab',{'Grant'},{'PeterMacCC'}
 'Nurses',{'Research'},{'MonashUni'}
 'Nursing',"{'Health', 'Research'}",{'UTAS_'}
 'OncoRad',{'Grant'},{'PeterMacCC'}
 'OpenDay',{'Health'},{'Macquarie_Uni'}
 'OzHist',{'Research'},{'Flinders'}
 'PHN',"{'Policy', 'Health'}",{'Flinders'}
 'PHST2018',{'Health'},{'uwanews'}
 'PM',{'Government'},{'UNSW'}
 'PTSD',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
 'ParkvilleOpenDay',{'Research'},{'MonashUni'}
 'PhD',{'Research'},"{'Uni_Newcastle', 'unimelb', 'MCRI_for_kids'}"
 'PhDchat',{'Research'},{'UniversitySA'}
 'Policy',"{'Policy', 'Research'}",{'QUT'}
 'PublicHealth',{'Health'},{'QUT'}
 'QIMRBerghofer',"{'Health', 'Research'}",{'QIMRBerghofer'}
 'QPEN',{'Grant'},"{'UQ_News', 'QUT'}"
 'QUT',{'Research'},{'QUT'}
 'QUTBusiness',{'Grant'},{'QUT'}
 'Quantum',"{'Funding', 'Research'}",{'Sydney_Uni'}
 'RadOnc',{'Grant'},{'PeterMacCC'}
 'RealHealthMatters',"{'Medical', 'Health', 'Research'}",{'QUT'}
 'Regional',"{'Grant', 'Research'}",{'UTSEngage'}
 'RenewableEnergy',{'Grant'},{'uwanews'}
 'Research',"{'Policy', 'Research'}","{'unimelb', 'EyeResearchAus', 'QUT'}"
 'RiskAssessment',{'Health'},{'QUT'}
 'Robotics',"{'Medical', 'Health'}",{'QUT'}
 'S100',{'Grant'},{'PeterMacCC'}
 'SKCSM',{'Grant'},{'PeterMacCC'}
 'SPRF',"{'Policy', 'Research'}",{'BakerResearchAu'}
 'STEM',"{'Grant', 'Research'}","{'UTSEngage', 'UNSW'}"
 'STEMis4me',"{'Health', 'Research'}",{'QUT'}
 'SciArt',{'Research'},{'WEHI_research'}
 'SciComm',"{'Health', 'Research'}",{'Sydney_Uni'}
 'Sciart',"{'Health', 'Grant', 'Research'}",{'WEHI_research'}
 'Science4Seniors',{'Research'},{'sahmriAU'}
 'ScienceWeek',{'Research'},"{'WEHI_research', 'CentenaryInst', 'MonashUni'}"
 'Skcsm',{'Grant'},{'PeterMacCC'}
 'SkinCancer',{'Grant'},{'PeterMacCC'}
 'SoNM',{'Research'},{'PeterMacCC'}
 'StLucia',{'Grant'},"{'UQ_News', 'QUT'}"
 'StudentEquity',"{'Policy', 'Research'}",{'QUT'}
 'Sustainable',{'Research'},{'UniofAdelaide'}
 'Sydney',{'Medical'},{'UNSW'}
 'T1D',"{'Health', 'Research'}",{'BakerResearchAu'}
 'TEDxMelbourne',{'Research'},{'TheFlorey'}
 'TLCitycat',{'Medical'},{'QUT'}
 'TallPoppy',"{'Health', 'Research'}",{'Sydney_Uni'}
 'TargetedTherapy',{'Grant'},{'PeterMacCC'}
 'Tech',{'Funding'},{'QUT'}
 'TerimaKasih',{'Government'},{'Flinders'}
 'UTSInternationalStudies',{'Research'},{'UTSEngage'}
 'UniMelbOpenDay',{'Research'},{'unimelb'}
 'UnimelbHealth',"{'Medical', 'Health'}",{'unimelb'}
 'UnimelbOpenDay',"{'Medical', 'Health'}",{'unimelb'}
 'University',{'Government'},{'UNSW'}
 'VAD',"{'Health', 'Research'}",{'QUT'}
 'VRed',{'Research'},{'UniversitySA'}
 'Venetoclax',{'Research'},"{'WEHI_research', 'PeterMacCC'}"
 'WINNews6pm',{'Health'},{'latrobe'}
 'WeAreIHBI',"{'Health', 'Research'}",{'QUT'}
 'WhyWomenDrink',{'Research'},{'Uni_Newcastle'}
 'WomenInSTEM',{'Research'},{'Sydney_Uni'}
 'WomenInSTEMM',"{'Grant', 'Research'}",{'UTSEngage'}
 'WomenInSurgery',{'Medical'},{'UNSW'}
 'WomenandCJS',{'Research'},{'QUT'}
 'aboriginal',"{'Health', 'Research'}",{'UOW'}
 'adelaide',"{'Health', 'Research'}",{'Flinders'}
 'ageing',"{'Funding', 'Research'}",{'Flinders'}
 'agility',"{'Health', 'Research'}",{'sahmriAU'}
 'agriculture',{'Research'},{'sahmriAU'}
 'alliedhealth',"{'Health', 'Research'}",{'UTAS_'}
 'allkindsofclever',"{'Funding', 'Research'}",{'latrobe'}
 'alumni',{'Funding'},{'QUT'}
 'amsi',{'Health'},{'Flinders'}
 'anu',{'Health'},"{'Sydney_Uni', 'UQ_News', 'UniofAdelaide', 'uwanews', 'ANUmedia', 'UNSW', 'unimelb', 'MonashUni'}"
 'anxiety',"{'Medical', 'Health', 'Research'}","{'Sydney_Uni', 'QUT'}"
 'arctic',"{'Policy', 'Health', 'Grant', 'Research'}",{'ANUmedia'}
 'arthritis',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
 'artinscience',{'Research'},{'WEHI_research'}
 'assisteddying',"{'Health', 'Research'}",{'QUT'}
 'ausinnovation',"{'Medical', 'Health', 'Research'}","{'Sydney_Uni', 'PeterMacCC'}"
 'auslaw',{'Research'},{'Uni_Newcastle'}
 'ausmedicine',"{'Medical', 'Health', 'Research'}","{'Sydney_Uni', 'PeterMacCC'}"
 'auspol',"{'Health', 'Research'}","{'Uni_Newcastle', 'UOW'}"
 'aussie',{'Government'},{'QUT'}
 'aussieED',{'Research'},{'WEHI_research'}
 'banking',{'Research'},{'Macquarie_Uni'}
 'banksy',{'Government'},{'MonashUni'}
 'bioethics',"{'Medical', 'Research'}",{'WestmeadInst'}
 'biology',{'Research'},{'Macquarie_Uni'}
 'biotech',"{'Health', 'Research'}",{'sahmriAU'}
 'bleaching',{'Health'},{'QUT'}
 'bloodvessels',"{'Health', 'Grant', 'Research'}",{'WEHI_research'}
 'bodyimage',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
 'bones',"{'Funding', 'Research'}",{'Flinders'}
 'booksnotbombs',{'Funding'},{'unimelb'}
 'brain',{'Research'},{'ANUmedia'}
 'burns',{'Research'},{'QUT'}
 'canberra',{'Health'},"{'Flinders', 'blackdoginst'}"
 'cancer',{'Research'},{'sahmriAU'}
 'cancerous',{'Research'},"{'WEHI_research', 'PeterMacCC'}"
 'cancertherapy',{'Research'},{'PeterMacCC'}
 'cannabis',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
 'cardiovasculardisease',{'Research'},{'CentenaryInst'}
 'cat',{'Research'},{'UQ_News'}
 'cfDNA',{'Grant'},{'PeterMacCC'}
 'cfconf2018',{'Research'},"{'unimelb', 'UQ_News', 'ANUmedia'}"
 'cheers',{'Research'},"{'WEHI_research', 'CentenaryInst', 'MonashUni'}"
 'citizenscience',{'Research'},{'latrobe'}
 'citizenscientists',{'Research'},{'latrobe'}
 'cleantech',{'Research'},{'Macquarie_Uni'}
 'clinicaltrials',{'Research'},{'PeterMacCC'}
 'collaboration',"{'Health', 'Research'}","{'Flinders', 'UTSEngage'}"
 'collaborators',"{'Funding', 'Research'}",{'latrobe'}
 'communicationaccess',{'Health'},{'latrobe'}
 'commute',{'Research'},{'MonashUni'}
 'conference',"{'Health', 'Research'}",{'UOW'}
 'corneal',{'Research'},"{'unimelb', 'EyeResearchAus'}"
 'corneas',{'Research'},"{'unimelb', 'EyeResearchAus'}"
 'crossdisciplinary',"{'Health', 'Research'}",{'UTSEngage'}
 'cyberstorm',{'Government'},{'UNSW'}
 'dementia',{'Research'},{'QUT'}
 'depression',"{'Medical', 'Health', 'Research'}","{'Sydney_Uni', 'QUT'}"
 'design',"{'Policy', 'Research'}",{'uwanews'}
 'destination',"{'Health', 'Research'}",{'sahmriAU'}
 'diabetes',"{'Health', 'Research'}","{'BakerResearchAu', 'QUT'}"
 'digitalhealth',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
 'disarmunis',{'Funding'},{'unimelb'}
 'disclosure',"{'Grant', 'Research'}",{'Sydney_Uni'}
 'dog',{'Research'},{'UQ_News'}
 'eAssessment',{'Grant'},"{'UQ_News', 'QUT', 'ANUmedia', 'UNSW'}"
 'earlycareer',{'Research'},{'ANUmedia'}
 'ebm',{'Research'},{'UNSW'}
 'ectoparasites',{'Research'},{'UQ_News'}
 'education',{'Research'},{'UniversitySA'}
 'educators',{'Health'},{'MonashUni'}
 'entrepreneur',{'Funding'},{'QUT'}
 'entrepreneurship',{'Funding'},{'QUT'}
 'environment',{'Funding'},{'UNSW'}
 'epilepsy',{'Research'},"{'TheFlorey', 'UQ_News'}"
 'equity',"{'Health', 'Research'}",{'BakerResearchAu'}
 'expliciteducators',{'Health'},{'MonashUni'}
 'feedingaus',{'Research'},{'UniofAdelaide'}
 'fellowships',{'Research'},{'ANUmedia'}
 'finance',{'Research'},{'Macquarie_Uni'}
 'fleas',{'Research'},{'UQ_News'}
 'foodallergy',"{'Health', 'Research'}",{'sahmriAU'}
 'foodsecurity',"{'Funding', 'Health'}",{'unimelb'}
 'future',"{'Health', 'Research'}",{'QUT'}
 'future_therapies',{'Research'},{'UniversitySA'}
 'futurechangemaker',{'Research'},{'QIMRBerghofer'}
 'futurecolleagues',{'Health'},{'latrobe'}
 'futureinhealth',"{'Health', 'Research'}",{'QUT'}
 'futureofhealth',"{'Health', 'Research'}",{'QIMRBerghofer'}
 'garvanseminar',{'Health'},{'GarvanInstitute'}
 'gender',"{'Grant', 'Research'}","{'Uni_Newcastle', 'ANUmedia'}"
 'geneediting',{'Research'},{'sahmriAU'}
 'generalpractice',"{'Health', 'Research'}",{'UOW'}
 'gippsnews',"{'Health', 'Government'}",{'latrobe'}
 'graffiti',{'Government'},{'MonashUni'}
 'grantseeking',{'Grant'},{'QUT'}
 'gulfmc',{'Grant'},{'uwanews'}
 'hackathon',{'Medical'},{'UNSW'}
 'hcsm',{'Grant'},{'PeterMacCC'}
 'health',"{'Medical', 'Health', 'Research'}","{'UTAS_', 'Sydney_Uni', 'Uni_Newcastle', 'UOW', 'QUT'}"
 'healthcare',"{'Medical', 'Health'}","{'MCRI_for_kids', 'QUT'}"
 'healthequity',"{'Policy', 'Health'}",{'Flinders'}
 'healthlaw',{'Health'},{'Sydney_Uni'}
 'healthpolicy',"{'Policy', 'Health', 'Grant', 'Research'}",{'ANUmedia'}
 'healthscience',"{'Health', 'Research'}",{'UTAS_'}
 'healthsecurity',{'Health'},{'Flinders'}
 'healthy',"{'Health', 'Research'}",{'QUT'}
 'highered',"{'Health', 'Research'}",{'UOW'}
 'holiday',{'Research'},{'QUT'}
 'honours',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
 'hope',{'Research'},{'blackdoginst'}
 'igers',{'Medical'},{'UNSW'}
 'ihbiinspires2018',{'Research'},{'QUT'}
 'immune',{'Research'},"{'WEHI_research', 'PeterMacCC'}"
 'immunoprecipitation',{'Research'},{'UQ_News'}
 'indigenoushealth',"{'Policy', 'Health', 'Grant', 'Research'}",{'ANUmedia'}
 'information',{'Research'},{'UniversitySA'}
 'inspirational',{'Research'},{'QUT'}
 'instagood',{'Medical'},{'UNSW'}
 'interdisciplinary',{'Health'},{'latrobe'}
 'internationalimpact',{'Health'},{'Flinders'}
 'job',{'Health'},{'latrobe'}
 'judging',{'Research'},{'Uni_Newcastle'}
 'keynote',{'Medical'},{'UNSW'}
 'kidsfirst',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
 'kidshealth',{'Health'},{'MCRI_for_kids'}
 'knowledge',{'Research'},{'UniversitySA'}
 'lamington',{'Government'},{'QUT'}
 'leader',"{'Policy', 'Research'}",{'BakerResearchAu'}
 'learning',{'Research'},{'MCRI_for_kids'}
 'life',{'Research'},{'MonashUni'}
 'lifelonglearning',{'Health'},{'MonashUni'}
 'livedexperience',{'Research'},{'blackdoginst'}
 'lockoutlockheed',{'Funding'},{'unimelb'}
 'madrid',"{'Health', 'Research'}",{'UOW'}
 'malaria',"{'Health', 'Research'}",{'QIMRBerghofer'}
 'mediapitch',{'Research'},{'WEHI_research'}
 'medical',"{'Medical', 'Research'}",{'UniofAdelaide'}
 'medicalreaearch',"{'Medical', 'Health', 'Research'}",{'WEHI_research'}
 'medicalresearch',"{'Medical', 'Research'}",{'WestmeadInst'}
 'medicine',"{'Health', 'Research'}",{'Sydney_Uni'}
 'medtech',"{'Health', 'Research'}",{'sahmriAU'}
 'melanoma',{'Grant'},{'PeterMacCC'}
 'melbourne',{'Health'},{'MCRI_for_kids'}
 'mentalist',{'Medical'},{'UNSW'}
 'mentor',"{'Policy', 'Research'}",{'BakerResearchAu'}
 'midwifery',"{'Health', 'Research'}","{'UTAS_', 'UTSEngage'}"
 'mindfullness',{'Research'},{'PeterMacCC'}
 'minerals',"{'Grant', 'Research'}",{'Sydney_Uni'}
 'mining',"{'Grant', 'Research'}",{'Sydney_Uni'}
 'monash',{'Health'},"{'Sydney_Uni', 'UQ_News', 'UniofAdelaide', 'uwanews', 'ANUmedia', 'UNSW', 'unimelb', 'MonashUni'}"
 'monashuni',"{'Health', 'Government'}","{'Sydney_Uni', 'UQ_News', 'UniofAdelaide', 'uwanews', 'ANUmedia', 'UNSW', 'unimelb', 'MonashUni'}"
 'mosquitocontrol',"{'Health', 'Research'}",{'QIMRBerghofer'}
 'multidisciplinary',{'Health'},{'latrobe'}
 'nanoparticle',{'Research'},{'PeterMacCC'}
 'nationalscienceweek',{'Research'},{'UniversitySA'}
 'natsciwk',{'Research'},{'UniversitySA'}
 'neuroscience',{'Research'},"{'ANUmedia', 'UniversitySA'}"
 'nmp',{'Research'},{'Flinders'}
 'nonprofit',{'Grant'},{'QUT'}
 'nswpol',{'Health'},{'Uni_Newcastle'}
 'nursing',"{'Health', 'Research'}","{'UOW', 'Sydney_Uni', 'UTSEngage'}"
 'nursingreview',"{'Medical', 'Health', 'Research'}",{'Sydney_Uni'}
 'oakleigh',{'Government'},{'MonashUni'}
 'offshore',{'Grant'},{'uwanews'}
 'oldgovernmenthouse',{'Government'},{'QUT'}
 'openday',{'Research'},{'Macquarie_Uni'}
 'osteoporosis',{'Health'},{'GarvanInstitute'}
 'ozearlyed',{'Research'},{'Macquarie_Uni'}
 'pallcare',"{'Health', 'Research'}",{'QUT'}
 'palliativecare',{'Health'},{'UniofAdelaide'}
 'passion',{'Research'},"{'unimelb', 'MCRI_for_kids'}"
 'paste',{'Research'},{'sahmriAU'}
 'pdhlife',"{'Health', 'Research'}",{'Sydney_Uni'}
 'peerobservation',{'Research'},{'Uni_Newcastle'}
 'physiology',"{'Medical', 'Health'}",{'unimelb'}
 'placedbasedmethodologies',{'Research'},{'UTSEngage'}
 'placementlearning',{'Health'},{'UQ_News'}
 'policy',"{'Policy', 'Research'}",{'BakerResearchAu'}
 'postgraduate',{'Research'},{'BakerResearchAu'}
 'pracademic',{'Research'},{'MonashUni'}
 'prevention',"{'Health', 'Research'}",{'sahmriAU'}
